SYMBOL,COUNTRY,SECURITYNAME,SECTOR,INDUSTRY,CURRENCY
'ENPH','US','Enphase','Information Technology','Electronic Components','USD'
'ETR','US','Entergy','Utilities','Electric Utilities','USD'
'EOG','US','EOG Resources','Energy','Oil & Gas Exploration & Production','USD'
'EPAM','US','EPAM Systems','Information Technology','IT Consulting & Other Services','USD'
'EQT','US','EQT','Energy','Oil & Gas Exploration & Production','USD'
'EFX','US','Equifax','Industrials','Research & Consulting Services','USD'
'EQIX','US','Equinix','Real Estate','Data Center REITs','USD'
'EQR','US','Equity Residential','Real Estate','Residential REITs','USD'
'ESS','US','Essex Property Trust','Real Estate','Residential REITs','USD'
'EL','US','Estée Lauder CompaniesThe)','Consumer Staples','Personal Care Products','USD'
'ETSY','US','Etsy','Consumer Discretionary','Broadline Retail','USD'
'EG','US','Everest Re','Financials','Reinsurance','USD'
'EVRG','US','Evergy','Utilities','Electric Utilities','USD'
'ES','US','Eversource','Utilities','Multi-Utilities','USD'
'EXC','US','Exelon','Utilities','Multi-Utilities','USD'
'EXPE','US','Expedia Group','Consumer Discretionary','Hotels, Restaurants & Leisure','USD'
'EXPD','US','Expeditors International','Industrials','Air Freight & Logistics','USD'
'EXR','US','Extra Space Storage','Real Estate','Self-Storage REITs','USD'
'XOM','US','ExxonMobil','Energy','Integrated Oil & Gas','USD'
'FFIV','US','F5, Inc.','Information Technology','Communications Equipment','USD'
'FDS','US','FactSet','Financials','Financial Exchanges & Data','USD'
'FICO','US','Fair Isaac','Information Technology','Application Software','USD'
'FAST','US','Fastenal','Industrials','Building Products','USD'
'FRT','US','Federal Realty','Real Estate','Retail REITs','USD'
'FDX','US','FedEx','Industrials','Air Freight & Logistics','USD'
'FITB','US','Fifth Third Bank','Financials','Regional Banks','USD'
'FSLR','US','First Solar','Information Technology','Semiconductors','USD'
'FE','US','FirstEnergy','Utilities','Electric Utilities','USD'
'FIS','US','FIS','Financials','Transaction & Payment Processing Services','USD'
'FI','US','Fiserv','Financials','Transaction & Payment Processing Services','USD'
'FLT','US','Fleetcor','Financials','Transaction & Payment Processing Services','USD'
'FMC','US','FMC Corporation','Materials','Fertilizers & Agricultural Chemicals','USD'
'F','US','Ford Motor Company','Consumer Discretionary','Automobile Manufacturers','USD'
'FTNT','US','Fortinet','Information Technology','Systems Software','USD'
'FTV','US','Fortive','Industrials','Industrial Machinery & Supplies & Components','USD'
'FOXA','US','Fox Corporation (Class A)','Communication Services','Movies & Entertainment','USD'
'FOX','US','Fox Corporation (Class B)','Communication Services','Movies & Entertainment','USD'
'BEN','US','Franklin Templeton','Financials','Asset Management & Custody Banks','USD'
'FCX','US','Freeport-McMoRan','Materials','Copper','USD'
'GRMN','US','Garmin','Consumer Discretionary','Consumer Electronics','USD'
'IT','US','Gartner','Information Technology','IT Consulting & Other Services','USD'
'GEN','US','Gen Digital','Information Technology','Application Software','USD'
'GNRC','US','Generac','Industrials','Electrical Components & Equipment','USD'
'GD','US','General Dynamics','Industrials','Aerospace & Defense','USD'
'GE','US','General Electric','Industrials','Industrial Conglomerates','USD'
'GIS','US','General Mills','Consumer Staples','Packaged Foods & Meats','USD'
'GM','US','General Motors','Consumer Discretionary','Automobile Manufacturers','USD'
'GPC','US','Genuine Parts Company','Consumer Discretionary','Specialty Stores','USD'
'GILD','US','Gilead Sciences','Health Care','Biotechnology','USD'
'GL','US','Globe Life','Financials','Life & Health Insurance','USD'
'GPN','US','Global Payments','Financials','Transaction & Payment Processing Services','USD'
'GS','US','Goldman Sachs','Financials','Investment Banking & Brokerage','USD'
'HAL','US','Halliburton','Energy','Oil & Gas Equipment & Services','USD'
'HIG','US','HartfordThe)','Financials','Property & Casualty Insurance','USD'
'HAS','US','Hasbro','Consumer Discretionary','Leisure Products','USD'
'HCA','US','HCA Healthcare','Health Care','Health Care Facilities','USD'
'PEAK','US','Healthpeak','Real Estate','Health Care REITs','USD'
'HSIC','US','Henry Schein','Health Care','Health Care Distributors','USD'
'HSY','US','Hershey''s','Consumer Staples','Packaged Foods & Meats','USD'
'HES','US','Hess Corporation','Energy','Integrated Oil & Gas','USD'
'HPE','US','Hewlett Packard Enterprise','Information Technology','Technology Hardware, Storage & Peripherals','USD'
'HLT','US','Hilton Worldwide','Consumer Discretionary','Hotels, Resorts & Cruise Lines','USD'
'HOLX','US','Hologic','Health Care','Health Care Equipment','USD'
'HD','US','Home DepotThe)','Consumer Discretionary','Home Improvement Retail','USD'
'HON','US','Honeywell','Industrials','Industrial Conglomerates','USD'
'HRL','US','Hormel Foods','Consumer Staples','Packaged Foods & Meats','USD'
'HST','US','Host Hotels & Resorts','Real Estate','Hotel & Resort REITs','USD'
'HWM','US','Howmet Aerospace','Industrials','Aerospace & Defense','USD'
'HPQ','US','HP Inc.','Information Technology','Technology Hardware, Storage & Peripherals','USD'
'HUM','US','Humana','Health Care','Managed Health Care','USD'
'HBAN','US','Huntington Bancshares','Financials','Regional Banks','USD'
'HII','US','Huntington Ingalls Industries','Industrials','Aerospace & Defense','USD'
'IBM','US','IBM','Information Technology','IT Consulting & Other Services','USD'
'IEX','US','IDEX Corporation','Industrials','Industrial Machinery & Supplies & Components','USD'
'IDXX','US','Idexx Laboratories','Health Care','Health Care Equipment','USD'
'ITW','US','Illinois Tool Works','Industrials','Industrial Machinery & Supplies & Components','USD'
'ILMN','US','Illumina','Health Care','Life Sciences Tools & Services','USD'
'INCY','US','Incyte','Health Care','Biotechnology','USD'
'IR','US','Ingersoll Rand','Industrials','Industrial Machinery & Supplies & Components','USD'
'PODD','US','Insulet','Health Care','Health Care Equipment','USD'
'INTC','US','Intel','Information Technology','Semiconductors','USD'
'ICE','US','Intercontinental Exchange','Financials','Financial Exchanges & Data','USD'
'IFF','US','International Flavors & Fragrances','Materials','Specialty Chemicals','USD'
'IP','US','International Paper','Materials','Paper & Plastic Packaging Products & Materials','USD'
'IPG','US','Interpublic Group of CompaniesThe)','Communication Services','Advertising','USD'
'INTU','US','Intuit','Information Technology','Application Software','USD'
'ISRG','US','Intuitive Surgical','Health Care','Health Care Equipment','USD'
'IVZ','US','Invesco','Financials','Asset Management & Custody Banks','USD'
'INVH','US','Invitation Homes','Real Estate','Residential REITs','USD'
'IQV','US','IQVIA','Health Care','Life Sciences Tools & Services','USD'
'IRM','US','Iron Mountain','Real Estate','Other Specialized REITs','USD'
'JBHT','US','J.B. Hunt','Industrials','Cargo Ground Transportation','USD'
'JKHY','US','Jack Henry & Associates','Financials','Transaction & Payment Processing Services','USD'
'J','US','Jacobs Solutions','Industrials','Construction & Engineering','USD'
'JNJ','US','Johnson & Johnson','Health Care','Pharmaceuticals','USD'
'JCI','US','Johnson Controls','Industrials','Building Products','USD'
'JPM','US','JPMorgan Chase','Financials','Diversified Banks','USD'
'JNPR','US','Juniper Networks','Information Technology','Communications Equipment','USD'
'K','US','Kellogg''s','Consumer Staples','Packaged Foods & Meats','USD'
'KDP','US','Keurig Dr Pepper','Consumer Staples','Soft Drinks & Non-alcoholic Beverages','USD'
'KEY','US','KeyCorp','Financials','Regional Banks','USD'
'KEYS','US','Keysight','Information Technology','Electronic Equipment & Instruments','USD'
'KMB','US','Kimberly-Clark','Consumer Staples','Household Products','USD'
'KIM','US','Kimco Realty','Real Estate','Retail REITs','USD'
'KMI','US','Kinder Morgan','Energy','Oil & Gas Storage & Transportation','USD'
'KLAC','US','KLA Corporation','Information Technology','Semiconductor Materials & Equipment','USD'
'KHC','US','Kraft Heinz','Consumer Staples','Packaged Foods & Meats','USD'
'KR','US','Kroger','Consumer Staples','Food Retail','USD'
'LHX','US','L3Harris','Industrials','Aerospace & Defense','USD'
'LH','US','LabCorp','Health Care','Health Care Services','USD'
'LRCX','US','Lam Research','Information Technology','Semiconductor Materials & Equipment','USD'
'LW','US','Lamb Weston','Consumer Staples','Packaged Foods & Meats','USD'
'LVS','US','Las Vegas Sands','Consumer Discretionary','Casinos & Gaming','USD'
'LDOS','US','Leidos','Industrials','Diversified Support Services','USD'
'LEN','US','Lennar','Consumer Discretionary','Homebuilding','USD'
